,model,fold_idx,r2_score,mean_absolute,mean_sqr,mean_abs_percent
0,Ridge_whole,1,0.9857417094028433,1.7211963873089982,22.640308250770804,6.374460838718819
1,Ridge_whole,2,0.9860844966985796,1.7142700916248454,22.07849414877864,6.379731261155608
2,Ridge_whole,3,0.9855877355367793,1.7206635837830844,22.711833442908432,6.385047818829204
3,Ridge_whole,4,0.9856725143133819,1.7244349561776324,22.932050989731486,6.378899790975994
4,Ridge_whole,5,0.9857787785092209,1.7211694262414825,22.492188650522795,6.38278388525984
5,Ridge_truncated,1,0.9845403291693202,2.1285004604530102,27.127334567714595,7.143110822163992
6,Random Forest,1,0.9930074342759239,1.3993616110731133,12.006499365381146,3.864529166409307
7,Ridge_truncated,2,0.9847172351265303,2.1275591365371427,26.798328318196532,7.154688420866627
8,Random Forest,2,0.9930107310836723,1.3910419740518294,11.975096305977273,3.8347507186732854
9,Ridge_truncated,3,0.9843754591361028,2.1310581788755796,27.19369943373342,7.16664482378113
10,Random Forest,3,0.9929756437762053,1.4009846734857725,11.964938941015484,3.8763009203663765
11,Ridge_truncated,4,0.9845154836481679,2.1309902411602524,27.37412044156186,7.1486291793867816
12,Random Forest,4,0.9930776817748658,1.4027389618470019,11.981126164987288,3.8955702453404157
13,Ridge_truncated,5,0.9845176216347024,2.1306345767536254,27.054929760640672,7.1574332251423245
14,Random Forest,5,0.9929812399905513,1.4087197643581153,12.003042691988004,3.909665408745986
15,Gradient Boost,1,0.9930079494573276,1.4071213307946293,12.008371151641654,3.901436895830226
16,Gradient Boost,2,0.9930407209398152,1.403542186671875,11.924437870612833,3.896231859595515
17,Gradient Boost,3,0.9929721871632371,1.4071841577970072,11.976121998955803,3.905340676498713
18,Gradient Boost,4,0.9930837114797625,1.406128573591029,11.976828926566595,3.8972396664583018
19,Gradient Boost,5,0.9929812399905513,1.4087197643581153,12.003042691988004,3.909665408745986
